sys:1: FutureWarning: In a future version of pandas all arguments of read_csv except for the argument 'filepath_or_buffer' will be keyword-only
WARNING:tensorflow:From Whitemodel.py:64: The name tf.reset_default_graph is deprecated. Please use tf.compat.v1.reset_default_graph instead.

(3961, 3)
(3845, 1)
(3845, 3)
2022-04-06 13:54:34.213350: I tensorflow/core/platform/cpu_feature_guard.cc:145] This TensorFlow binary is optimized with Intel(R) MKL-DNN to use the following CPU instructions in performance critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in non-MKL-DNN operations, rebuild TensorFlow with the appropriate compiler flags.
2022-04-06 13:54:34.214675: I tensorflow/core/common_runtime/process_util.cc:115] Creating new thread pool with default inter op setting: 4. Tune using inter_op_parallelism_threads for best performance.
   sulphates   alcohol        pH
0   0.267442  0.129032  0.254545
1   0.313953  0.241935  0.527273
2   0.255814  0.338710  0.490909
3   0.209302  0.306452  0.427273
4   0.290698  0.258065  0.418182
5   0.267442  0.483871  0.454545
6   0.395349  0.645161  0.245455
7   0.360465  0.274194  0.381818
8   0.476744  0.451613  0.418182
9   0.348837  0.709677  0.745455
# 0 Cost:  32.157898
# 1000 Cost:  18.278303
# 2000 Cost:  10.559107
# 3000 Cost:  6.265672
# 4000 Cost:  3.8772922
# 5000 Cost:  2.5483098
WARNING:tensorflow:From /Applications/Utilities/anaconda3/envs/wineregression/lib/python3.7/site-packages/tensorflow_core/python/training/saver.py:963: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
# 6000 Cost:  1.8084564
# 7000 Cost:  1.3962214
# 8000 Cost:  1.1661812
# 9000 Cost:  1.0374614
# 10000 Cost:  0.96509236
# 11000 Cost:  0.9240642
# 12000 Cost:  0.90046936
# 13000 Cost:  0.88657415
# 14000 Cost:  0.87807775
# 15000 Cost:  0.87258923
# 16000 Cost:  0.86877793
# 17000 Cost:  0.86590475
# 18000 Cost:  0.8635572
# 19000 Cost:  0.86150795
# 20000 Cost:  0.8596273
# 21000 Cost:  0.85784745
# 22000 Cost:  0.8561301
# 23000 Cost:  0.8544446
# 24000 Cost:  0.85279727
# 25000 Cost:  0.8511571
# 26000 Cost:  0.84952915
# 27000 Cost:  0.8479186
# 28000 Cost:  0.8463235
# 29000 Cost:  0.84473246
# 30000 Cost:  0.8431505
# 31000 Cost:  0.84157276
# 32000 Cost:  0.84001017
# 33000 Cost:  0.8384752
# 34000 Cost:  0.83696043
# 35000 Cost:  0.83545023
# 36000 Cost:  0.83394533
# 37000 Cost:  0.83244497
# 38000 Cost:  0.83094996
# 39000 Cost:  0.8294597
# 40000 Cost:  0.82797474
# 41000 Cost:  0.8265036
# 42000 Cost:  0.82505715
# 43000 Cost:  0.8236239
# 44000 Cost:  0.8221961
# 45000 Cost:  0.820772
# 46000 Cost:  0.81935334
# 47000 Cost:  0.8179404
# 48000 Cost:  0.81654286
# 49000 Cost:  0.81515074
# 50000 Cost:  0.8137633
# 51000 Cost:  0.81239665
# 52000 Cost:  0.81104815
# 53000 Cost:  0.80970764
# 54000 Cost:  0.8083715
# 55000 Cost:  0.80703974
# 56000 Cost:  0.80571234
# 57000 Cost:  0.8043904
# 58000 Cost:  0.80307776
# 59000 Cost:  0.80178803
# 60000 Cost:  0.80050427
# 61000 Cost:  0.79922426
# 62000 Cost:  0.7979487
# 63000 Cost:  0.7966771
# 64000 Cost:  0.7954119
# 65000 Cost:  0.7941571
# 66000 Cost:  0.79291415
# 67000 Cost:  0.79167646
# 68000 Cost:  0.7904604
# 69000 Cost:  0.7892515
# 70000 Cost:  0.78804666
# 71000 Cost:  0.786848
# 72000 Cost:  0.78565675
# 73000 Cost:  0.78446966
# 74000 Cost:  0.78328633
# 75000 Cost:  0.78210664
# 76000 Cost:  0.78093094
# 77000 Cost:  0.77977574
# 78000 Cost:  0.7786267
# 79000 Cost:  0.7774823
# 80000 Cost:  0.7763547
# 81000 Cost:  0.77523386
# 82000 Cost:  0.77411705
# 83000 Cost:  0.7730036
# 84000 Cost:  0.7718939
# 85000 Cost:  0.77079153
# 86000 Cost:  0.76971436
# 87000 Cost:  0.7686395
# 88000 Cost:  0.76756907
# 89000 Cost:  0.76650167
# 90000 Cost:  0.765438
# 91000 Cost:  0.7643774
# 92000 Cost:  0.76332074
